job_name,company_name,salary_avg,city,city_level,experience_years,education_level,tags,job_description,source,skills_list,skill_count,education_label,city_level_label
Python开发工程师,小米,33970.0,上海,1,8,3,微服务;SQL;机器学习,负责Python开发工程师相关工作，要求8年经验，薪资面议。,演示数据,"['微服务', 'SQL', '机器学习']",3,本科,一线城市
人工智能工程师,腾讯,31243.0,上海,1,3,2,React;MongoDB;Nginx,负责人工智能工程师相关工作，要求3年经验，薪资面议。,演示数据,"['React', 'MongoDB', 'Nginx']",3,大专,一线城市
数据分析师,字节跳动,26451.0,西安,3,8,4,React;Redis;Git;Vue;Python,负责数据分析师相关工作，要求8年经验，薪资面议。,演示数据,"['React', 'Redis', 'Git', 'Vue', 'Python']",5,硕士,其他城市
产品经理,美团,21178.0,武汉,2,2,3,SQL;JavaScript;Hadoop;PyTorch,负责产品经理相关工作，要求2年经验，薪资面议。,演示数据,"['SQL', 'JavaScript', 'Hadoop', 'PyTorch']",4,本科,新一线城市
算法工程师,美团,32320.0,长沙,3,10,2,SQL;Hadoop;JavaScript;AWS;Spring;Nginx,负责算法工程师相关工作，要求10年经验，薪资面议。,演示数据,"['SQL', 'Hadoop', 'JavaScript', 'AWS', 'Spring', 'Nginx']",6,大专,其他城市
数据分析师,百度,18069.0,长沙,3,8,2,DevOps;Spring;JavaScript,负责数据分析师相关工作，要求8年经验，薪资面议。,演示数据,"['DevOps', 'Spring', 'JavaScript']",3,大专,其他城市
测试工程师,华为,24533.0,上海,1,2,3,Docker;PyTorch;Kubernetes;机器学习,负责测试工程师相关工作，要求2年经验，薪资面议。,演示数据,"['Docker', 'PyTorch', 'Kubernetes', '机器学习']",4,本科,一线城市
人工智能工程师,华为,48889.0,上海,1,8,3,Docker;Redis;Hadoop,负责人工智能工程师相关工作，要求8年经验，薪资面议。,演示数据,"['Docker', 'Redis', 'Hadoop']",3,本科,一线城市
数据分析师,美团,26473.0,西安,3,8,3,React;Java,负责数据分析师相关工作，要求8年经验，薪资面议。,演示数据,"['React', 'Java']",2,本科,其他城市
算法工程师,网易,30879.0,武汉,2,0,3,深度学习;TensorFlow;Kubernetes;数据分析;MySQL;Hadoop,负责算法工程师相关工作，要求0年经验，薪资面议。,演示数据,"['深度学习', 'TensorFlow', 'Kubernetes', '数据分析', 'MySQL', 'Hadoop']",6,本科,新一线城市
算法工程师,美团,39539.0,深圳,1,1,3,Vue;微服务;Git;Spark;深度学习;Hadoop,负责算法工程师相关工作，要求1年经验，薪资面议。,演示数据,"['Vue', '微服务', 'Git', 'Spark', '深度学习', 'Hadoop']",6,本科,一线城市
前端工程师,字节跳动,24464.0,广州,1,5,3,SQL;Linux,负责前端工程师相关工作，要求5年经验，薪资面议。,演示数据,"['SQL', 'Linux']",2,本科,一线城市
人工智能工程师,阿里巴巴,26198.0,武汉,2,0,3,MongoDB;Vue;AWS;Python;机器学习,负责人工智能工程师相关工作，要求0年经验，薪资面议。,演示数据,"['MongoDB', 'Vue', 'AWS', 'Python', '机器学习']",5,本科,新一线城市
算法工程师,华为,29954.0,西安,3,10,4,Spark;Docker;Redis;Python,负责算法工程师相关工作，要求10年经验，薪资面议。,演示数据,"['Spark', 'Docker', 'Redis', 'Python']",4,硕士,其他城市
前端工程师,字节跳动,19290.0,西安,3,5,2,数据分析;MongoDB;Nginx;Kubernetes,负责前端工程师相关工作，要求5年经验，薪资面议。,演示数据,"['数据分析', 'MongoDB', 'Nginx', 'Kubernetes']",4,大专,其他城市
前端工程师,网易,29809.0,成都,2,5,5,Nginx;TensorFlow,负责前端工程师相关工作，要求5年经验，薪资面议。,演示数据,"['Nginx', 'TensorFlow']",2,博士,新一线城市
Java开发工程师,阿里巴巴,34883.0,北京,1,2,5,Java;React;Git,负责Java开发工程师相关工作，要求2年经验，薪资面议。,演示数据,"['Java', 'React', 'Git']",3,博士,一线城市
运维工程师,字节跳动,40262.0,上海,1,10,2,DevOps;Linux;微服务;机器学习;MySQL;AWS,负责运维工程师相关工作，要求10年经验，薪资面议。,演示数据,"['DevOps', 'Linux', '微服务', '机器学习', 'MySQL', 'AWS']",6,大专,一线城市
UI设计师,百度,29078.0,杭州,2,10,4,AWS;DevOps;微服务,负责UI设计师相关工作，要求10年经验，薪资面议。,演示数据,"['AWS', 'DevOps', '微服务']",3,硕士,新一线城市
测试工程师,腾讯,25253.0,杭州,2,8,4,Redis;SQL;React;深度学习;JavaScript;TensorFlow,负责测试工程师相关工作，要求8年经验，薪资面议。,演示数据,"['Redis', 'SQL', 'React', '深度学习', 'JavaScript', 'TensorFlow']",6,硕士,新一线城市
UI设计师,腾讯,13641.0,长沙,3,1,4,深度学习;数据分析,负责UI设计师相关工作，要求1年经验，薪资面议。,演示数据,"['深度学习', '数据分析']",2,硕士,其他城市
Java开发工程师,字节跳动,26054.0,广州,1,0,5,React;Vue;机器学习;MySQL;Kubernetes;AWS,负责Java开发工程师相关工作，要求0年经验，薪资面议。,演示数据,"['React', 'Vue', '机器学习', 'MySQL', 'Kubernetes', 'AWS']",6,博士,一线城市
人工智能工程师,京东,27713.0,长沙,3,3,3,Kubernetes;SQL;机器学习;Spark;PyTorch,负责人工智能工程师相关工作，要求3年经验，薪资面议。,演示数据,"['Kubernetes', 'SQL', '机器学习', 'Spark', 'PyTorch']",5,本科,其他城市
运维工程师,美团,23828.0,武汉,2,10,4,Java;Hadoop,负责运维工程师相关工作，要求10年经验，薪资面议。,演示数据,"['Java', 'Hadoop']",2,硕士,新一线城市
数据分析师,网易,27301.0,上海,1,1,3,Spark;Docker;Vue,负责数据分析师相关工作，要求1年经验，薪资面议。,演示数据,"['Spark', 'Docker', 'Vue']",3,本科,一线城市
Java开发工程师,百度,37346.0,广州,1,3,5,SQL;Java;数据分析;AWS;Python;JavaScript,负责Java开发工程师相关工作，要求3年经验，薪资面议。,演示数据,"['SQL', 'Java', '数据分析', 'AWS', 'Python', 'JavaScript']",6,博士,一线城市
测试工程师,网易,21987.0,深圳,1,3,3,Java;Docker;Hadoop;Python;Vue,负责测试工程师相关工作，要求3年经验，薪资面议。,演示数据,"['Java', 'Docker', 'Hadoop', 'Python', 'Vue']",5,本科,一线城市
测试工程师,百度,31871.0,杭州,2,8,4,机器学习;深度学习;MySQL;Linux;Kubernetes;Spring,负责测试工程师相关工作，要求8年经验，薪资面议。,演示数据,"['机器学习', '深度学习', 'MySQL', 'Linux', 'Kubernetes', 'Spring']",6,硕士,新一线城市
人工智能工程师,小米,41368.0,北京,1,8,4,Java;Git;MySQL;MongoDB,负责人工智能工程师相关工作，要求8年经验，薪资面议。,演示数据,"['Java', 'Git', 'MySQL', 'MongoDB']",4,硕士,一线城市
Python开发工程师,百度,35585.0,深圳,1,5,2,Nginx;JavaScript,负责Python开发工程师相关工作，要求5年经验，薪资面议。,演示数据,"['Nginx', 'JavaScript']",2,大专,一线城市
Java开发工程师,京东,25273.0,武汉,2,5,3,Nginx;JavaScript,负责Java开发工程师相关工作，要求5年经验，薪资面议。,演示数据,"['Nginx', 'JavaScript']",2,本科,新一线城市
人工智能工程师,百度,31460.0,长沙,3,5,3,机器学习;深度学习;TensorFlow,负责人工智能工程师相关工作，要求5年经验，薪资面议。,演示数据,"['机器学习', '深度学习', 'TensorFlow']",3,本科,其他城市
测试工程师,快手,19259.0,杭州,2,1,4,TensorFlow;DevOps;JavaScript;Python;Redis,负责测试工程师相关工作，要求1年经验，薪资面议。,演示数据,"['TensorFlow', 'DevOps', 'JavaScript', 'Python', 'Redis']",5,硕士,新一线城市
Java开发工程师,美团,14164.0,长沙,3,0,4,Linux;PyTorch;JavaScript;React,负责Java开发工程师相关工作，要求0年经验，薪资面议。,演示数据,"['Linux', 'PyTorch', 'JavaScript', 'React']",4,硕士,其他城市
前端工程师,小米,23499.0,杭州,2,3,5,Nginx;数据分析;MongoDB;Python,负责前端工程师相关工作，要求3年经验，薪资面议。,演示数据,"['Nginx', '数据分析', 'MongoDB', 'Python']",4,博士,新一线城市
Java开发工程师,字节跳动,16670.0,杭州,2,1,3,微服务;AWS,负责Java开发工程师相关工作，要求1年经验，薪资面议。,演示数据,"['微服务', 'AWS']",2,本科,新一线城市
算法工程师,小米,35329.0,杭州,2,5,3,机器学习;数据分析;Vue,负责算法工程师相关工作，要求5年经验，薪资面议。,演示数据,"['机器学习', '数据分析', 'Vue']",3,本科,新一线城市
算法工程师,字节跳动,30966.0,南京,2,10,2,Vue;Java;Python;TensorFlow;DevOps,负责算法工程师相关工作，要求10年经验，薪资面议。,演示数据,"['Vue', 'Java', 'Python', 'TensorFlow', 'DevOps']",5,大专,新一线城市
前端工程师,字节跳动,26640.0,杭州,2,8,3,AWS;Python;SQL;JavaScript;深度学习,负责前端工程师相关工作，要求8年经验，薪资面议。,演示数据,"['AWS', 'Python', 'SQL', 'JavaScript', '深度学习']",5,本科,新一线城市
Python开发工程师,华为,26032.0,西安,3,10,3,Spark;Linux;Java,负责Python开发工程师相关工作，要求10年经验，薪资面议。,演示数据,"['Spark', 'Linux', 'Java']",3,本科,其他城市
Python开发工程师,小米,23495.0,成都,2,2,3,PyTorch;DevOps,负责Python开发工程师相关工作，要求2年经验，薪资面议。,演示数据,"['PyTorch', 'DevOps']",2,本科,新一线城市
人工智能工程师,字节跳动,43418.0,武汉,2,8,3,Docker;Spark;Python,负责人工智能工程师相关工作，要求8年经验，薪资面议。,演示数据,"['Docker', 'Spark', 'Python']",3,本科,新一线城市
测试工程师,阿里巴巴,33223.0,成都,2,10,4,Vue;Docker;深度学习,负责测试工程师相关工作，要求10年经验，薪资面议。,演示数据,"['Vue', 'Docker', '深度学习']",3,硕士,新一线城市
Python开发工程师,百度,28003.0,武汉,2,10,3,PyTorch;Spring;React;Python;机器学习,负责Python开发工程师相关工作，要求10年经验，薪资面议。,演示数据,"['PyTorch', 'Spring', 'React', 'Python', '机器学习']",5,本科,新一线城市
产品经理,小米,22267.0,武汉,2,2,5,PyTorch;数据分析;MongoDB;Hadoop,负责产品经理相关工作，要求2年经验，薪资面议。,演示数据,"['PyTorch', '数据分析', 'MongoDB', 'Hadoop']",4,博士,新一线城市
Python开发工程师,美团,16993.0,成都,2,0,3,Java;SQL;Nginx;Spark,负责Python开发工程师相关工作，要求0年经验，薪资面议。,演示数据,"['Java', 'SQL', 'Nginx', 'Spark']",4,本科,新一线城市
测试工程师,小米,19464.0,成都,2,5,4,Kubernetes;Vue;Java;Spark;Python;MongoDB,负责测试工程师相关工作，要求5年经验，薪资面议。,演示数据,"['Kubernetes', 'Vue', 'Java', 'Spark', 'Python', 'MongoDB']",6,硕士,新一线城市
产品经理,华为,36189.0,广州,1,3,2,Nginx;TensorFlow;机器学习;SQL,负责产品经理相关工作，要求3年经验，薪资面议。,演示数据,"['Nginx', 'TensorFlow', '机器学习', 'SQL']",4,大专,一线城市
算法工程师,京东,26872.0,西安,3,8,3,AWS;Linux;Kubernetes;Spark,负责算法工程师相关工作，要求8年经验，薪资面议。,演示数据,"['AWS', 'Linux', 'Kubernetes', 'Spark']",4,本科,其他城市
人工智能工程师,京东,41914.0,深圳,1,5,3,Spring;Kubernetes,负责人工智能工程师相关工作，要求5年经验，薪资面议。,演示数据,"['Spring', 'Kubernetes']",2,本科,一线城市
人工智能工程师,字节跳动,29264.0,长沙,3,8,3,机器学习;Kubernetes;MongoDB;MySQL;微服务,负责人工智能工程师相关工作，要求8年经验，薪资面议。,演示数据,"['机器学习', 'Kubernetes', 'MongoDB', 'MySQL', '微服务']",5,本科,其他城市
算法工程师,华为,46550.0,上海,1,5,4,JavaScript;DevOps;React;机器学习,负责算法工程师相关工作，要求5年经验，薪资面议。,演示数据,"['JavaScript', 'DevOps', 'React', '机器学习']",4,硕士,一线城市
数据分析师,快手,20429.0,广州,1,1,2,Nginx;DevOps;JavaScript;Redis;Spark,负责数据分析师相关工作，要求1年经验，薪资面议。,演示数据,"['Nginx', 'DevOps', 'JavaScript', 'Redis', 'Spark']",5,大专,一线城市
测试工程师,京东,22287.0,广州,1,3,3,DevOps;SQL,负责测试工程师相关工作，要求3年经验，薪资面议。,演示数据,"['DevOps', 'SQL']",2,本科,一线城市
前端工程师,阿里巴巴,39280.0,广州,1,10,4,AWS;React,负责前端工程师相关工作，要求10年经验，薪资面议。,演示数据,"['AWS', 'React']",2,硕士,一线城市
前端工程师,小米,30410.0,南京,2,10,3,Nginx;TensorFlow;Redis;DevOps;MongoDB;Spark,负责前端工程师相关工作，要求10年经验，薪资面议。,演示数据,"['Nginx', 'TensorFlow', 'Redis', 'DevOps', 'MongoDB', 'Spark']",6,本科,新一线城市
前端工程师,小米,28805.0,南京,2,8,5,DevOps;React;数据分析;Vue,负责前端工程师相关工作，要求8年经验，薪资面议。,演示数据,"['DevOps', 'React', '数据分析', 'Vue']",4,博士,新一线城市
数据分析师,阿里巴巴,18199.0,南京,2,2,3,React;Vue;TensorFlow;AWS,负责数据分析师相关工作，要求2年经验，薪资面议。,演示数据,"['React', 'Vue', 'TensorFlow', 'AWS']",4,本科,新一线城市
前端工程师,小米,24795.0,深圳,1,1,3,JavaScript;Spark;TensorFlow,负责前端工程师相关工作，要求1年经验，薪资面议。,演示数据,"['JavaScript', 'Spark', 'TensorFlow']",3,本科,一线城市
测试工程师,网易,17564.0,南京,2,0,3,DevOps;Git;深度学习;Python;Hadoop,负责测试工程师相关工作，要求0年经验，薪资面议。,演示数据,"['DevOps', 'Git', '深度学习', 'Python', 'Hadoop']",5,本科,新一线城市
产品经理,百度,33431.0,北京,1,2,5,AWS;微服务;Nginx;React;MySQL,负责产品经理相关工作，要求2年经验，薪资面议。,演示数据,"['AWS', '微服务', 'Nginx', 'React', 'MySQL']",5,博士,一线城市
测试工程师,小米,16818.0,杭州,2,3,2,微服务;Docker;Redis;Linux;Nginx,负责测试工程师相关工作，要求3年经验，薪资面议。,演示数据,"['微服务', 'Docker', 'Redis', 'Linux', 'Nginx']",5,大专,新一线城市
测试工程师,字节跳动,31849.0,北京,1,5,4,数据分析;Spark,负责测试工程师相关工作，要求5年经验，薪资面议。,演示数据,"['数据分析', 'Spark']",2,硕士,一线城市
前端工程师,京东,15702.0,南京,2,0,3,Redis;TensorFlow;DevOps,负责前端工程师相关工作，要求0年经验，薪资面议。,演示数据,"['Redis', 'TensorFlow', 'DevOps']",3,本科,新一线城市
测试工程师,腾讯,17405.0,杭州,2,2,5,微服务;AWS,负责测试工程师相关工作，要求2年经验，薪资面议。,演示数据,"['微服务', 'AWS']",2,博士,新一线城市
数据分析师,百度,30705.0,成都,2,8,2,DevOps;Python,负责数据分析师相关工作，要求8年经验，薪资面议。,演示数据,"['DevOps', 'Python']",2,大专,新一线城市
Python开发工程师,华为,29683.0,广州,1,5,3,机器学习;SQL;Git;Kubernetes;Redis,负责Python开发工程师相关工作，要求5年经验，薪资面议。,演示数据,"['机器学习', 'SQL', 'Git', 'Kubernetes', 'Redis']",5,本科,一线城市
前端工程师,华为,28452.0,成都,2,5,4,DevOps;Docker,负责前端工程师相关工作，要求5年经验，薪资面议。,演示数据,"['DevOps', 'Docker']",2,硕士,新一线城市
人工智能工程师,百度,36834.0,上海,1,0,3,Hadoop;深度学习;Kubernetes;JavaScript;Git,负责人工智能工程师相关工作，要求0年经验，薪资面议。,演示数据,"['Hadoop', '深度学习', 'Kubernetes', 'JavaScript', 'Git']",5,本科,一线城市
算法工程师,美团,54089.0,上海,1,10,4,Git;Java,负责算法工程师相关工作，要求10年经验，薪资面议。,演示数据,"['Git', 'Java']",2,硕士,一线城市
测试工程师,京东,16618.0,西安,3,8,3,Python;Spark;MySQL;SQL,负责测试工程师相关工作，要求8年经验，薪资面议。,演示数据,"['Python', 'Spark', 'MySQL', 'SQL']",4,本科,其他城市
运维工程师,京东,24452.0,成都,2,8,3,数据分析;Vue;Nginx;AWS;MySQL;Redis,负责运维工程师相关工作，要求8年经验，薪资面议。,演示数据,"['数据分析', 'Vue', 'Nginx', 'AWS', 'MySQL', 'Redis']",6,本科,新一线城市
算法工程师,百度,22922.0,长沙,3,2,5,Vue;Redis,负责算法工程师相关工作，要求2年经验，薪资面议。,演示数据,"['Vue', 'Redis']",2,博士,其他城市
人工智能工程师,字节跳动,33306.0,南京,2,5,4,MySQL;TensorFlow,负责人工智能工程师相关工作，要求5年经验，薪资面议。,演示数据,"['MySQL', 'TensorFlow']",2,硕士,新一线城市
数据分析师,腾讯,22493.0,南京,2,2,5,Nginx;深度学习;Vue;AWS,负责数据分析师相关工作，要求2年经验，薪资面议。,演示数据,"['Nginx', '深度学习', 'Vue', 'AWS']",4,博士,新一线城市
数据分析师,网易,16973.0,西安,3,0,3,AWS;DevOps;React;深度学习;MySQL,负责数据分析师相关工作，要求0年经验，薪资面议。,演示数据,"['AWS', 'DevOps', 'React', '深度学习', 'MySQL']",5,本科,其他城市
Python开发工程师,美团,17328.0,南京,2,0,3,Spring;机器学习;Git,负责Python开发工程师相关工作，要求0年经验，薪资面议。,演示数据,"['Spring', '机器学习', 'Git']",3,本科,新一线城市
UI设计师,华为,21830.0,南京,2,5,3,TensorFlow;PyTorch;深度学习;Redis;Vue;Spring,负责UI设计师相关工作，要求5年经验，薪资面议。,演示数据,"['TensorFlow', 'PyTorch', '深度学习', 'Redis', 'Vue', 'Spring']",6,本科,新一线城市
Java开发工程师,华为,33835.0,广州,1,8,3,DevOps;深度学习;Docker;Kubernetes;机器学习;MySQL,负责Java开发工程师相关工作，要求8年经验，薪资面议。,演示数据,"['DevOps', '深度学习', 'Docker', 'Kubernetes', '机器学习', 'MySQL']",6,本科,一线城市
UI设计师,字节跳动,21460.0,长沙,3,5,3,Spring;React;PyTorch,负责UI设计师相关工作，要求5年经验，薪资面议。,演示数据,"['Spring', 'React', 'PyTorch']",3,本科,其他城市
Python开发工程师,华为,26029.0,杭州,2,8,4,Java;AWS,负责Python开发工程师相关工作，要求8年经验，薪资面议。,演示数据,"['Java', 'AWS']",2,硕士,新一线城市
运维工程师,腾讯,19358.0,深圳,1,0,5,MySQL;Redis;TensorFlow;Docker,负责运维工程师相关工作，要求0年经验，薪资面议。,演示数据,"['MySQL', 'Redis', 'TensorFlow', 'Docker']",4,博士,一线城市
运维工程师,字节跳动,15284.0,杭州,2,0,5,JavaScript;Git;数据分析;机器学习;Java,负责运维工程师相关工作，要求0年经验，薪资面议。,演示数据,"['JavaScript', 'Git', '数据分析', '机器学习', 'Java']",5,博士,新一线城市
人工智能工程师,京东,44214.0,深圳,1,2,2,AWS;DevOps,负责人工智能工程师相关工作，要求2年经验，薪资面议。,演示数据,"['AWS', 'DevOps']",2,大专,一线城市
人工智能工程师,华为,29201.0,长沙,3,10,4,Hadoop;Redis;微服务;Spring;Git;Spark,负责人工智能工程师相关工作，要求10年经验，薪资面议。,演示数据,"['Hadoop', 'Redis', '微服务', 'Spring', 'Git', 'Spark']",6,硕士,其他城市
人工智能工程师,百度,27470.0,长沙,3,0,4,DevOps;Kubernetes,负责人工智能工程师相关工作，要求0年经验，薪资面议。,演示数据,"['DevOps', 'Kubernetes']",2,硕士,其他城市
Java开发工程师,京东,17130.0,杭州,2,1,3,Docker;Python,负责Java开发工程师相关工作，要求1年经验，薪资面议。,演示数据,"['Docker', 'Python']",2,本科,新一线城市
人工智能工程师,百度,25286.0,南京,2,3,3,深度学习;Spring;Redis;JavaScript,负责人工智能工程师相关工作，要求3年经验，薪资面议。,演示数据,"['深度学习', 'Spring', 'Redis', 'JavaScript']",4,本科,新一线城市
人工智能工程师,华为,47056.0,杭州,2,8,5,SQL;AWS;React;数据分析;Linux,负责人工智能工程师相关工作，要求8年经验，薪资面议。,演示数据,"['SQL', 'AWS', 'React', '数据分析', 'Linux']",5,博士,新一线城市
Java开发工程师,华为,26865.0,深圳,1,0,3,微服务;Git;Spring;Redis;SQL;机器学习,负责Java开发工程师相关工作，要求0年经验，薪资面议。,演示数据,"['微服务', 'Git', 'Spring', 'Redis', 'SQL', '机器学习']",6,本科,一线城市
算法工程师,京东,33916.0,武汉,2,5,4,Nginx;Java,负责算法工程师相关工作，要求5年经验，薪资面议。,演示数据,"['Nginx', 'Java']",2,硕士,新一线城市
人工智能工程师,字节跳动,23757.0,成都,2,2,2,Git;Python;机器学习;Vue;DevOps;Java,负责人工智能工程师相关工作，要求2年经验，薪资面议。,演示数据,"['Git', 'Python', '机器学习', 'Vue', 'DevOps', 'Java']",6,大专,新一线城市
UI设计师,网易,30444.0,南京,2,8,3,Git;Spark;数据分析,负责UI设计师相关工作，要求8年经验，薪资面议。,演示数据,"['Git', 'Spark', '数据分析']",3,本科,新一线城市
运维工程师,京东,21718.0,上海,1,2,3,Docker;TensorFlow,负责运维工程师相关工作，要求2年经验，薪资面议。,演示数据,"['Docker', 'TensorFlow']",2,本科,一线城市
算法工程师,阿里巴巴,40628.0,南京,2,8,3,Java;Redis;JavaScript;TensorFlow;Vue;机器学习,负责算法工程师相关工作，要求8年经验，薪资面议。,演示数据,"['Java', 'Redis', 'JavaScript', 'TensorFlow', 'Vue', '机器学习']",6,本科,新一线城市
UI设计师,快手,28703.0,武汉,2,10,2,Redis;Spark;Java;Kubernetes;MongoDB;PyTorch,负责UI设计师相关工作，要求10年经验，薪资面议。,演示数据,"['Redis', 'Spark', 'Java', 'Kubernetes', 'MongoDB', 'PyTorch']",6,大专,新一线城市
运维工程师,快手,22917.0,南京,2,10,2,Linux;Spring;Redis;MySQL;SQL;Python,负责运维工程师相关工作，要求10年经验，薪资面议。,演示数据,"['Linux', 'Spring', 'Redis', 'MySQL', 'SQL', 'Python']",6,大专,新一线城市
前端工程师,字节跳动,21361.0,广州,1,2,4,JavaScript;React;SQL;Redis;数据分析,负责前端工程师相关工作，要求2年经验，薪资面议。,演示数据,"['JavaScript', 'React', 'SQL', 'Redis', '数据分析']",5,硕士,一线城市
算法工程师,京东,30919.0,南京,2,5,4,MySQL;React;Redis;AWS;Linux,负责算法工程师相关工作，要求5年经验，薪资面议。,演示数据,"['MySQL', 'React', 'Redis', 'AWS', 'Linux']",5,硕士,新一线城市
人工智能工程师,京东,52404.0,广州,1,5,4,Vue;DevOps,负责人工智能工程师相关工作，要求5年经验，薪资面议。,演示数据,"['Vue', 'DevOps']",2,硕士,一线城市
UI设计师,网易,17542.0,成都,2,2,5,Git;机器学习;MySQL;Linux,负责UI设计师相关工作，要求2年经验，薪资面议。,演示数据,"['Git', '机器学习', 'MySQL', 'Linux']",4,博士,新一线城市
